step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
229,82164,916,0.03175483743647116,1.0,1.0,,,,,,,,,
230,82584,920,0.02545514863623951,1.0,1.0,,,,,,,,,
231,82940,924,0.028939024907265035,0.5,0.5,,,,,,,,,
232,83360,928,0.02383615214452028,0.75,0.75,,,,,,,,,
233,83716,932,0.03225718547109146,0.75,0.75,0.024385326361240134,1.0,1.0,,,,,,
234,84008,936,0.02486583418462304,0.75,0.75,,,,,,,,,
235,84396,940,0.022394657547324764,1.0,1.0,,,,,,,,,
236,84752,944,0.03169086883582206,0.5,0.5,,,,,,,,,
237,85140,948,0.024418948879825802,1.0,1.0,,,,,,,,,
238,85464,952,0.021273907345915406,1.0,1.0,,,,,,,,,
239,85788,956,0.03227724835678481,0.75,0.75,,,,,,,,,
240,86112,960,0.03200690399254756,0.75,0.75,,,,,,,,,
241,86404,964,0.039491550195651065,0.75,0.75,0.040803367764283394,0.25,0.25,,,,,,
242,86632,968,0.02992137969329203,0.75,0.75,,,,,,,,,
243,87404,972,0.014675300318017379,1.0,1.0,,,,,,,,,
244,87696,976,0.029641688195851352,1.0,1.0,,,,,,,,,
245,88020,980,0.02808402665840436,0.75,0.75,,,,,,,,,
246,88344,984,0.03588572644759251,0.5,0.5,,,,,,,,,
247,88732,988,0.023175754181594944,1.0,1.0,,,,,,,,,
248,89056,992,0.022999109235497486,1.0,1.0,,,,,,,,,
249,89412,996,0.028711836412751383,0.75,0.75,0.03153518842522084,0.75,0.75,,,,,,
250,89768,1000,0.023119879172567928,1.0,1.0,,,,,,,,,
251,90092,1004,0.02682958983058495,0.75,0.75,,,,,,,,,
252,90416,1008,0.024564719926661496,0.75,0.75,,,,,,,,,
253,90708,1012,0.021322483979891317,1.0,1.0,,,,,,,,,
254,91096,1016,0.029202949065946716,0.75,0.75,,,,,,,,,
255,91452,1020,0.028190987972304137,1.0,1.0,,,,,,,,,
256,91808,1024,0.02136666525233977,1.0,1.0,,,,,,,,,
257,92196,1028,0.022083093086752565,1.0,1.0,0.02410842389290163,0.75,0.75,,,,,,
258,92616,1032,0.018219430294754445,0.75,0.75,,,,,,,,,
259,93068,1036,0.018221309327489298,1.0,1.0,,,,,,,,,
260,93392,1040,0.03477580606996861,0.5,0.5,,,,,,,,,
261,93748,1044,0.023954505849842357,0.75,0.75,,,,,,,,,
262,94072,1048,0.024779831793982736,1.0,1.0,,,,,,,,,
263,94428,1052,0.035809496021990045,0.75,0.75,,,,,,,,,
264,94720,1056,0.028383076866665642,1.0,1.0,,,,,,,,,
265,95076,1060,0.02529092100380953,0.75,0.75,0.026671138767129777,0.75,0.75,,,,,,
266,95432,1064,0.03063740380609142,0.75,0.75,,,,,,,,,
267,95852,1068,0.024023481010430295,1.0,1.0,,,,,,,,,
268,96208,1072,0.02433200040881076,1.0,1.0,,,,,,,,,
269,96532,1076,0.02683438000890977,1.0,1.0,,,,,,,,,
270,96888,1080,0.02292684710032249,1.0,1.0,,,,,,,,,
271,97116,1084,0.023264044548303834,1.0,1.0,,,,,,,,,
272,97440,1088,0.025175291027550874,0.75,0.75,,,,,,,,,
273,97828,1092,0.022590368713840122,0.75,0.75,0.0409249625426297,0.25,0.25,,,,,,
274,98216,1096,0.025592647770900877,0.5,0.5,,,,,,,,,
275,98508,1100,0.022911876609478677,1.0,1.0,,,,,,,,,
276,98832,1104,0.020314413179742356,1.0,1.0,,,,,,,,,
277,99188,1108,0.03068181397572788,0.75,0.75,,,,,,,,,
278,99544,1112,0.02143384543500724,1.0,1.0,,,,,,,,,
279,99836,1116,0.02648096606092458,0.75,0.75,,,,,,,,,
280,100128,1120,0.03416521366083136,0.5,0.5,,,,,,,,,
281,100516,1124,0.023175642561520087,1.0,1.0,0.026462543975194163,0.5,0.5,,,,,,
282,100840,1128,0.026100721714725238,0.75,0.75,,,,,,,,,
283,101292,1132,0.02963725906537067,0.75,0.75,,,,,,,,,
284,101616,1136,0.024290088974260413,1.0,1.0,,,,,,,,,
285,102004,1140,0.02158806161181348,1.0,1.0,,,,,,,,,
286,102424,1144,0.028233879458475417,0.75,0.75,,,,,,,,,
287,102876,1148,0.016540196025119778,1.0,1.0,,,,,,,,,
288,103232,1152,0.022611475042069354,1.0,1.0,,,,,,,,,
289,103588,1156,0.04188810897931588,0.5,0.5,0.03538961054509111,0.5,0.5,,,,,,
290,103880,1160,0.023593425582252317,1.0,1.0,,,,,,,,,
291,104204,1164,0.028464718676224493,0.75,0.75,,,,,,,,,
292,104560,1168,0.022807953401505546,0.75,0.75,,,,,,,,,
293,104884,1172,0.02447607359602421,0.75,0.75,,,,,,,,,
294,105240,1176,0.024728137192682985,0.75,0.75,,,,,,,,,
295,105564,1180,0.03235483434425783,0.75,0.75,,,,,,,,,
296,105920,1184,0.03022484938745286,0.75,0.75,,,,,,,,,
297,107204,1188,0.016524301445829392,0.75,0.75,0.030842910150119224,0.25,0.25,,,,,,
298,107592,1192,0.021347749487041007,1.0,1.0,,,,,,,,,
299,107948,1196,0.024573402808287816,1.0,1.0,,,,,,,,,
300,108304,1200,0.02162123759890877,1.0,1.0,,,,,,,,,
301,108564,1204,0.030091228229142782,0.75,0.75,,,,,,,,,
302,108888,1208,0.0261153729096379,1.0,1.0,,,,,,,,,
303,109244,1212,0.02171388927180681,1.0,1.0,,,,,,,,,
304,109632,1216,0.020039690773420726,1.0,1.0,,,,,,,,,
305,110084,1220,0.02276833458794688,0.75,0.75,0.029804089925373273,1.0,1.0,,,,,,
306,110536,1224,0.01855496853133737,1.0,1.0,,,,,,,,,
307,110828,1228,0.02487620291992725,0.75,0.75,,,,,,,,,
308,111152,1232,0.030042941507415544,0.75,0.75,,,,,,,,,
309,111476,1236,0.022719565916712415,1.0,1.0,,,,,,,,,
310,111864,1240,0.02026446877718439,1.0,1.0,,,,,,,,,
311,112284,1244,0.018603765637270175,1.0,1.0,,,,,,,,,
312,112736,1248,0.02090938375500964,1.0,1.0,,,,,,,,,
313,113284,1252,0.020291984009026084,0.5,0.5,0.024716404448882602,0.75,0.75,,,,,,
314,113640,1256,0.02744125156239668,0.75,0.75,,,,,,,,,
315,114092,1260,0.02123359444497955,1.0,1.0,,,,,,,,,
316,114480,1264,0.022397454105477384,1.0,1.0,,,,,,,,,
317,114804,1268,0.0244652028516397,1.0,1.0,,,,,,,,,
318,115224,1272,0.025192259390762476,0.25,0.25,,,,,,,,,
319,115580,1276,0.02095256560225584,0.75,0.75,,,,,,,,,
320,115968,1280,0.030062259562331894,0.75,0.75,,,,,,,,,
321,116292,1284,0.030743960346813537,0.75,0.75,0.025476017161462985,0.75,0.75,,,,,,
322,116648,1288,0.019567025266425783,1.0,1.0,,,,,,,,,
323,116972,1292,0.03501980794014598,0.5,0.5,,,,,,,,,
324,117360,1296,0.02484246726228297,0.75,0.75,,,,,,,,,
325,117716,1300,0.02230740284696136,0.75,0.75,,,,,,,,,
326,118040,1304,0.016402819641481756,1.0,1.0,,,,,,,,,
327,118364,1308,0.03217573389614538,0.75,0.75,,,,,,,,,
328,118688,1312,0.019624071784129286,1.0,1.0,,,,,,,,,
329,119108,1316,0.021921106978004347,0.75,0.75,0.03219159925577262,0.75,0.75,,,,,,
330,119464,1320,0.01889315698324354,1.0,1.0,,,,,,,,,
331,119852,1324,0.01663826312686067,1.0,1.0,,,,,,,,,
332,120144,1328,0.037461135219686394,0.5,0.5,,,,,,,,,
333,120500,1332,0.027416752104192546,1.0,1.0,,,,,,,,,
334,120824,1336,0.022834052581229496,1.0,1.0,,,,,,,,,
335,121148,1340,0.022038293947468843,1.0,1.0,,,,,,,,,
336,121440,1344,0.025681375448050874,0.75,0.75,,,,,,,,,
337,121796,1348,0.03013713066970282,0.5,0.5,0.028588089936168216,0.75,0.75,,,,,,
338,122120,1352,0.02007702580546186,1.0,1.0,,,,,,,,,
339,122508,1356,0.02411167418818574,0.5,0.5,,,,,,,,,
340,122928,1360,0.020822622037436646,1.0,1.0,,,,,,,,,
341,123220,1364,0.029152565510838207,0.75,0.75,,,,,,,,,
342,123576,1368,0.02240374207634233,1.0,1.0,,,,,,,,,
343,123900,1372,0.02398162854985435,0.75,0.75,,,,,,,,,
344,124288,1376,0.02757285926766266,0.5,0.5,,,,,,,,,
345,124708,1380,0.021578203948161713,0.75,0.75,0.030854250269143936,0.25,0.25,,,,,,
346,125128,1384,0.02150316658682805,0.75,0.75,,,,,,,,,
347,125356,1388,0.030779141549320297,0.5,0.5,,,,,,,,,
348,125680,1392,0.024101099558205278,1.0,1.0,,,,,,,,,
349,126100,1396,0.02224913006039309,1.0,1.0,,,,,,,,,
350,126552,1400,0.02763012759037417,0.5,0.5,,,,,,,,,
351,126972,1404,0.019040047467799154,1.0,1.0,,,,,,,,,
352,127328,1408,0.019003760528297164,1.0,1.0,,,,,,,,,
353,127652,1412,0.02461445818541664,1.0,1.0,0.024727698988656087,0.75,0.75,,,,,,
354,127976,1416,0.032503692673061024,0.75,0.75,,,,,,,,,
355,128332,1420,0.024905034763829003,0.75,0.75,,,,,,,,,
356,128720,1424,0.023663190411712203,0.75,0.75,,,,,,,,,
357,129108,1428,0.032386091287506615,0.5,0.5,,,,,,,,,
358,129496,1432,0.030455871390557086,0.75,0.75,,,,,,,,,
359,129820,1436,0.026684315927854824,0.75,0.75,,,,,,,,,
360,130080,1440,0.021480809132461316,1.0,1.0,,,,,,,,,
361,130404,1444,0.025606920263261328,1.0,1.0,0.027474595304146022,1.0,1.0,,,,,,
362,130760,1448,0.025296079035878195,1.0,1.0,,,,,,,,,
363,131052,1452,0.028762360947679713,1.0,1.0,,,,,,,,,
364,131472,1456,0.026874478626096734,0.75,0.75,,,,,,,,,
365,131796,1460,0.028527492601136035,1.0,1.0,,,,,,,,,
366,132120,1464,0.025992076834950577,0.75,0.75,,,,,,,,,
367,132604,1468,0.021526233195398585,0.75,0.75,,,,,,,,,
368,132992,1472,0.0214364905859588,1.0,1.0,,,,,,,,,
369,133284,1476,0.018875359467168153,1.0,1.0,0.026323153587521075,0.75,0.75,,,,,,
370,133640,1480,0.02408867214952233,0.75,0.75,,,,,,,,,
371,133996,1484,0.018793513975622966,1.0,1.0,,,,,,,,,
372,134320,1488,0.0260902270787997,0.75,0.75,,,,,,,,,
373,134644,1492,0.03139038274310692,0.5,0.5,,,,,,,,,
374,135000,1496,0.029455265557076307,1.0,1.0,,,,,,,,,
375,135356,1500,0.028002644044310576,0.5,0.5,,,,,,,,,
376,135680,1504,0.021245003313383037,1.0,1.0,,,,,,,,,
377,136036,1508,0.030504094917474193,0.75,0.75,0.03206155979827009,0.25,0.25,,,,,,
378,136424,1512,0.028512968814310067,0.75,0.75,,,,,,,,,
379,136748,1516,0.022872932781667632,1.0,1.0,,,,,,,,,
380,137104,1520,0.0249551356682305,1.0,1.0,,,,,,,,,
381,137492,1524,0.020530740020079794,0.75,0.75,,,,,,,,,
382,137912,1528,0.02737760605556299,0.5,0.5,,,,,,,,,
383,138428,1532,0.023677477291734424,1.0,1.0,,,,,,,,,
384,138784,1536,0.023056174751428928,1.0,1.0,,,,,,,,,
385,139108,1540,0.042547768239131194,0.5,0.5,0.026413158864359795,0.75,0.75,,,,,,
