step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
334,121496,1336,0.02703362416226753,0.75,0.75,,,,,,,,,
335,121852,1340,0.01946472820206997,1.0,1.0,,,,,,,,,
336,122176,1344,0.016352564009815183,1.0,1.0,,,,,,,,,
337,122500,1348,0.021346026955050817,1.0,1.0,0.02027143167026499,1.0,1.0,,,,,,
338,122920,1352,0.015915672006740218,1.0,1.0,,,,,,,,,
339,123244,1356,0.019081008877846223,1.0,1.0,,,,,,,,,
340,123600,1360,0.017973623863856262,1.0,1.0,,,,,,,,,
341,123924,1364,0.021186542822664422,1.0,1.0,,,,,,,,,
342,124312,1368,0.021452660267488512,1.0,1.0,,,,,,,,,
343,124668,1372,0.018774760017304614,1.0,1.0,,,,,,,,,
344,125024,1376,0.024163979004819217,0.75,0.75,,,,,,,,,
345,125412,1380,0.016242558614345013,1.0,1.0,0.022404006269428917,0.75,0.75,,,,,,
346,125768,1384,0.020319275895603162,0.75,0.75,,,,,,,,,
347,126124,1388,0.022378041306232218,1.0,1.0,,,,,,,,,
348,126448,1392,0.021558826440756636,1.0,1.0,,,,,,,,,
349,126708,1396,0.024208146595471363,1.0,1.0,,,,,,,,,
350,127224,1400,0.015741642967142262,0.75,0.75,,,,,,,,,
351,127676,1404,0.019613674028020705,1.0,1.0,,,,,,,,,
352,128032,1408,0.0184335592350893,1.0,1.0,,,,,,,,,
353,128452,1412,0.019800283296250346,1.0,1.0,0.02296663508476033,1.0,1.0,,,,,,
354,128840,1416,0.019119200400095706,1.0,1.0,,,,,,,,,
355,129324,1420,0.013406501986575774,1.0,1.0,,,,,,,,,
356,129712,1424,0.021043449617647147,0.75,0.75,,,,,,,,,
357,130164,1428,0.015400157707347034,1.0,1.0,,,,,,,,,
358,130616,1432,0.015923354136541112,1.0,1.0,,,,,,,,,
359,130940,1436,0.02192004582385513,1.0,1.0,,,,,,,,,
360,131296,1440,0.020528912240547512,1.0,1.0,,,,,,,,,
361,131652,1444,0.015906168244750742,1.0,1.0,0.032531118913973964,0.75,0.75,,,,,,
362,131976,1448,0.019243718820126227,1.0,1.0,,,,,,,,,
363,132364,1452,0.023293156392938857,0.75,0.75,,,,,,,,,
364,132720,1456,0.01660119622986377,1.0,1.0,,,,,,,,,
365,133044,1460,0.01622278056133395,1.0,1.0,,,,,,,,,
366,133368,1464,0.023576129468186092,0.75,0.75,,,,,,,,,
367,133724,1468,0.025076128062501635,0.75,0.75,,,,,,,,,
368,134048,1472,0.01844091090927694,1.0,1.0,,,,,,,,,
369,134372,1476,0.020737917727904343,1.0,1.0,0.03885965372592939,0.75,0.75,,,,,,
370,134760,1480,0.017497479375539363,1.0,1.0,,,,,,,,,
371,135084,1484,0.01992748152682644,1.0,1.0,,,,,,,,,
372,135440,1488,0.0181281971763141,1.0,1.0,,,,,,,,,
373,135732,1492,0.02693878039788179,1.0,1.0,,,,,,,,,
374,136088,1496,0.01852478885209472,1.0,1.0,,,,,,,,,
375,136412,1500,0.019866102009371587,1.0,1.0,,,,,,,,,
376,136832,1504,0.017337136657449827,1.0,1.0,,,,,,,,,
377,137124,1508,0.01997189138934665,1.0,1.0,0.07327960010211312,0.5,0.5,,,,,,
378,137480,1512,0.018697343748960007,1.0,1.0,,,,,,,,,
379,137836,1516,0.02115765510549512,1.0,1.0,,,,,,,,,
380,138160,1520,0.019624547152030714,1.0,1.0,,,,,,,,,
381,138452,1524,0.021933505399390027,1.0,1.0,,,,,,,,,
382,138840,1528,0.0211064862880533,1.0,1.0,,,,,,,,,
383,139164,1532,0.02199064010877507,1.0,1.0,,,,,,,,,
384,139456,1536,0.026124818510942498,0.75,0.75,,,,,,,,,
385,139844,1540,0.019390479987883694,1.0,1.0,0.03635479732940872,0.75,0.75,,,,,,
